year,selling_price,transmission,potencia_motor_hp,nivel_seguridad,score_calidad,eficiencia_km_l,calidad_auto_num
2007,60000,0,244,1.2,5.0,9.45000945000945,1
2007,135000,0,376,2.1,6.6000000000000005,9.45000945000945,1
2012,600000,0,199,2.2,6.3,10.259988098413803,1
2017,250000,0,302,2.4,6.7,11.610004795436764,1
2014,450000,0,108,1.9,6.0,10.799963234167713,1
2007,140000,0,209,1.8,5.6000000000000005,9.45000945000945,1
2016,550000,0,149,1.9,5.8,11.339925610088,1
2014,240000,0,383,2.4,7.1,10.799913600691193,1
2015,850000,0,386,1.9,7.199999999999999,11.069783917817924,1
2017,365000,0,337,1.4,6.1,11.610079930934909,1
2015,260000,0,355,2.0,6.5,11.069993990574693,1
2014,250000,0,206,2.3,7.0,10.799952480209088,1
2018,1650000,1,112,3.9,6.800000000000001,11.879870747006272,1
2007,60000,0,345,1.8,5.699999999999999,9.45000945000945,1
2007,135000,0,213,2.1,5.699999999999999,9.45000945000945,1
2012,600000,0,209,2.0,6.7,10.259988098413803,1
2017,250000,0,120,1.1,5.8,11.610004795436764,1
2014,450000,0,132,2.1,6.0,10.799963234167713,1
2007,140000,0,361,1.6,6.2,9.45000945000945,1
2016,550000,0,117,2.4,6.5,11.339925610088,1
2014,240000,0,88,2.5,6.3,10.799913600691193,1
2015,850000,0,283,1.7,6.7,11.069783917817924,1
2017,365000,0,112,2.5,7.0,11.610079930934909,1
2015,260000,0,218,1.5,6.3,11.069993990574693,1
2014,250000,0,347,2.0,6.800000000000001,10.799952480209088,1
2018,1650000,1,68,3.1,6.9,11.879870747006272,1
2015,585000,0,96,1.2,4.9,11.07011070110701,0
2019,1195000,0,323,3.3,8.4,12.15066828675577,2
2013,390000,0,127,2.3,5.6000000000000005,10.53001053001053,1
2014,1964999,1,367,2.8,7.3,10.799969142945306,1
2013,1425000,1,361,2.5,7.199999999999999,10.530073175084777,1
2018,975000,1,332,3.7,7.6,11.87961985216473,2
2011,1190000,1,80,3.3,6.7,9.990004316317954,1
